,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
110,Irving,NaN,NaN,NaN,645000.0,NaN
111,Irving,4.0,3.0,1956.0,350000.0,350003
112,Irving,3.0,2.0,1264.0,395000.0,355801
113,Irving,4.0,4.0,2942.0,515000.0,515003
114,Irving,3.0,3.0,2456.0,3500000.0,NaN
115,Irving,NaN,NaN,NaN,209000.0,NaN
116,Irving,3.0,3.0,1600.0,235000.0,236068
117,Irving,3.0,4.0,2678.0,595000.0,595004
118,Irving,4.0,3.0,2352.0,499000.0,500141
119,Grand Prairie,4.0,3.0,1741.0,330000.0,330001
120,Austin,4.0,4.0,3065.0,1350000.0,NaN
121,Austin,3.0,3.0,2636.0,1675000.0,NaN
122,Austin,3.0,2.0,1704.0,349900.0,349902
123,Austin,3.0,2.0,1025.0,825000.0,825006
124,Austin,3.0,2.0,1240.0,799000.0,NaN
125,Austin,3.0,2.0,1346.0,395000.0,NaN
126,Austin,4.0,4.0,3641.0,1030000.0,NaN
127,Austin,3.0,3.0,1703.0,485000.0,NaN
128,Austin,4.0,4.0,3051.0,975000.0,963602
129,Austin,4.0,4.0,4986.0,3200000.0,NaN
130,Austin,4.0,4.0,2920.0,875000.0,NaN
131,Austin,3.0,3.0,2211.0,839000.0,839007
132,Austin,3.0,3.0,1613.0,900000.0,NaN
133,Austin,4.0,3.0,2472.0,599990.0,NaN
134,Austin,5.0,7.0,5532.0,3295000.0,NaN
135,Austin,5.0,4.0,3129.0,995000.0,NaN
136,Austin,3.0,3.0,1687.0,414900.0,NaN
137,Austin,4.0,3.0,2544.0,1430000.0,NaN
138,Austin,3.0,2.0,1668.0,535000.0,NaN
139,Austin,2.0,2.0,1592.0,1220000.0,1296300
140,San Marcos,3.0,5.0,1808.0,557900.0,NaN
141,San Marcos,3.0,2.0,1500.0,384888.0,NaN
142,San Marcos,4.0,3.0,2164.0,369990.0,363924
143,San Marcos,4.0,3.0,2592.0,649000.0,NaN
144,San Marcos,NaN,0.0,NaN,145000.0,NaN
145,San Marcos,NaN,0.0,NaN,145000.0,NaN
146,San Marcos,3.0,2.0,1536.0,288000.0,283428
147,San Marcos,5.0,4.0,2370.0,479900.0,477723
148,San Marcos,4.0,4.0,2850.0,678900.0,NaN
149,San Marcos,4.0,2.0,2034.0,364990.0,NaN
150,San Marcos,4.0,4.0,3150.0,739900.0,NaN
151,San Marcos,3.0,2.0,2026.0,484900.0,NaN
152,Kyle,4.0,2.0,1500.0,131995.0,NaN
153,Kyle,3.0,2.0,1376.0,119995.0,NaN
154,San Marcos,4.0,3.0,3196.0,650000.0,NaN
155,San Marcos,3.0,3.0,2134.0,405900.0,399353
156,San Marcos,4.0,4.0,2097.0,499000.0,NaN
157,San Marcos,3.0,3.0,2367.0,444375.0,NaN
158,San Marcos,4.0,3.0,2652.0,394990.0,NaN
159,San Marcos,3.0,2.0,1358.0,351900.0,346269
160,College Station,4.0,2.0,2247.0,469000.0,464487
161,College Station,1.0,1.0,621.0,159900.0,157166
162,College Station,4.0,3.0,2369.0,449900.0,449901
163,College Station,3.0,2.0,1292.0,274900.0,274900
164,College Station,3.0,4.0,3470.0,999000.0,815800
165,College Station,4.0,3.0,2075.0,400000.0,400000
166,College Station,2.0,2.0,1106.0,185000.0,185001
167,College Station,4.0,4.0,1496.0,275000.0,256600
168,College Station,4.0,3.0,2362.0,425000.0,425000
169,College Station,3.0,2.0,1943.0,369000.0,369000
170,College Station,3.0,2.0,1550.0,317900.0,NaN
171,College Station,3.0,2.0,1257.0,240000.0,216300
172,College Station,4.0,2.0,1645.0,304900.0,303811
173,College Station,4.0,4.0,3396.0,839900.0,NaN
174,College Station,4.0,5.0,2831.0,700000.0,NaN
175,College Station,4.0,3.0,2543.0,380000.0,356700
